"","lidocaine","procaine","benzocaine","ketamine","propofol","halothane","chloroform","diethyl.ether","isoflurane","sevoflurane","nitrous.oxide","local","general","intravenous","volatile","hydrcarbon","ethers"
"Mimosa pudica",1,NA,NA,0,NA,1,1,1,NA,1,NA,1,1,0,1,1,1
"Vallisneria americana",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Dionaea muscipula",0,NA,NA,0,NA,NA,1,1,NA,NA,NA,0,1,0,1,1,1
"Felis catus",1,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Canis lupus familiaris",1,NA,NA,0,1,0,NA,1,1,1,NA,1,1,1,1,0,1
"Papio anubis",NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,1,1,1,NA,1
"Homo sapiens",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Oreochromis niloticus",NA,NA,1,1,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1
"Rattus norvegicus",1,1,NA,1,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1
"Scutigera coleoptrata",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1
"Pterophylla camellifolia",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1
"Cetonia aurata",NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,1,NA,1,0,1
"Mycobacterium phlei",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Pisum sativum",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1
"Lepidium sativum",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1
"Drosera capensis",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1
"Pseudomonas aeruginosa C",1,1,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,1,1,1
"Acinetobacter lwoffii",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,1
"Staphylococcus aureus subsp. aureus C427",0,NA,NA,NA,1,1,NA,NA,0,NA,0,0,1,1,1,1,0
"Escherichia coli MS 21-1",1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,0,NA,0,0,0
"Streptococcus pneumoniae G54",0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,0
"Bacillus licheniformis",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA
"Micrococcus luteus SK58",0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,1,NA,1,1,NA
"Candida albicans",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1
"Petaurus breviceps",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,1
"Macropus giganteus",NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,1,1
"Pteropus hypomelanus",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"Saccharomyces cerevisiae",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1
"Caenorhabditis elegans",NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1
"Drosophila melanogaster",NA,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,1,1,1
